['Αα', 'ἄλφα', 'τό']
['α-', 'ἀν-', 'ἀβουλέω', 'ἀνήδομαι', 'ἀτίζω']
['ἆ']
['ἁ']
['ἃἅ', 'ἇἇ']
['ἀ-άᾱτος', '-ον']
['ἀ-ᾱγής', '-ές', 'ἄγνυμι']
['ἄ-απτος', '-ον', 'ἅπτομαι']
['ἄᾰσα', 'ἆσα']
['ἀάσπετος', 'ἀάσχετος', 'ἄσπετος', 'ἄσχετος']
['ἄᾰται']
['ἄ-ᾰτος']
['ἀάω', 'ἄτη', 'αὐ-άτα']
['ἅβα', 'ἡ']
['ἀβᾰκέω']
['ἀβᾰκής', '-ές', 'βάζω']
['ἀ-βάκχευτος', '-ον', 'βακχεύω']
['ἄ-βᾰλε[ᾱβ]']
['ἀ-βᾰρής', '-ές', 'βάρος']
['ἀ-βᾰσάνιστος', '-ον', 'βασανίζω']
['ἀ-βᾰσίλευτος', '-ον', 'βασιλεύω']
['ἀ-βάσκαντος', '-ον', 'βασκαίνω']
['ἀ-βάστακτος', '-ον', 'βαστάζω']
['ἄ-βᾰτος', '-ον', '-η', '-ον', 'βαίνω']
['Ἀββᾶ']
['Ἀβδηρίτης[ῑ]', '-ου', 'ὁ', 'Ἀβδηριτικός']
['ἀ-βέβαιος', '-ον']
['ἀ-βέβηλος', '-ον']
['ἀβελτερία', 'ἡ']
['ἀ-βέλτερος', '-α', '-ον']
['ἀ-βίαστος', '-ον', 'βιάζω']
['ἄ-βιος', '-ον']
['ἀ-βίοτος', '-ον']
['ἀ-βίωτος', '-ον']
['ἀβλάβεια', 'ἡ']
['ἀ-βλᾰβής', '-ές', 'βλάβη']
['ἀβλᾰβία', 'ἡ']
['ἀ-βλέφᾰρος', '-ον', 'βλέφαρον']
['ἀ-βλής', '-ῆτος', 'ὁ', 'ἡ', 'βάλλω']
['ἄ-βλητος', '-ον']
['ἀ-βληχής', '-ές', 'βληχή']
['ἀβληχρός', '-ά', '-όν']
['ἀβληχρώδης', '-ες']
['ἀβοᾱτί', 'ἀβόατος']
['ἀ-βοήθητος', '-ον', 'βοηθέω']
['ἀ-βόητος', 'ἀβόᾱτος']
['ἁβός']
['ἀ-βόσκητος', '-ον', 'βόσκω']
['ἀ-βουκόλητος', '-ον', 'βουκολέω']
['ἀβουλέω', 'α-']
['ἀβουλία', 'ἡ']
['ἄ-βουλος', '-ον', 'βουλή']
['ἀ-βούτης', '-ου', 'ὁ', 'βοῦς']
['ἀ-βρῑθής', '-ές', 'βρῖθος']
['ἁβρο-βάτης[ᾰ]', '-ου', 'ὁ', 'βαίνω']
['ἁβρό-βιος', '-ον']
['ἁβρό-γοος', '-ον']
['ἁβρο-δίαιτος', '-ον', 'δίαιτα']
['ἁβρο-κόμης', '-ου', 'ὁ', 'κόμη']
['ἀ-βρόμιος', '-ον', 'βρόμιος']
['ἄ-βρομος', '-ον', 'αὐίαχος']
['ἁβρο-πέδῑλος', '-ον', 'πέδιλον']
['ἁβρό-πηνος', '-ον', 'πήνη']
['ἁβρό-πλουτος', '-ον']
['ἁβρὸς[ᾰ', '-όν', 'ός', '-όν']
['ἁβροσύνη', 'ἡ']
['ἀβροτάζω']
['ἁβρότης', '-ητος', 'ἡ', 'ἁβρός']
['ἁβρό-τῑμος', '-ον', 'τιμή']
['ἄ-βροτος', '-ον', '-η', '-ον']
['ἁβρο-χαίτης', '-ου', 'ὁ']
['ἁβρο-χίτων[ῐ]', '-ωνος', 'ὁ', 'ἡ']
['ἄ-βροχος', '-ον', 'βρέχω']
['ἁβρύνω', 'ἁβρός']
['Ἄβῡδος', 'ἡ', 'Ἀβῡδόθεν', 'Ἀβυδόθι']
['ἄ-βυσσος', '-ον', 'βαθύς']
['ἄγ', 'ἀνά']
['ἄγ']
['ἄγᾱ']
['ἀγάασθαι']
['ἀγάθεος']
['ἀγαθο-ειδής', '-ές', 'εἴδομαι']
['ἀγαθοεργέω', 'ἀγαθουργέω']
['ἀγαθοεργία', '-ίη', '-ουργία']
['ἀγαθο-εργός', 'ἀγαθουργός']
['ἀγαθοποιέω']
['ἀγαθοποιΐα', 'ἡ']
['ἀγαθο-ποιός', '-όν', 'ποιέω']
['ἀγᾰθὸς[ᾰγ]', '-ή', '-όν', 'καλοκἀγαθός']
['ἀγαθουργέω', 'ἀγαθουργία', 'ἀγαθουργός']
['ἀγαθωσύνη', 'ἡ', 'ἀγαθός']
['ἀγαίομαι', 'ἄγη']
['ἀγα-κλεής', '-ές', 'εὐκλεής']
['ἀγα-κλειτός', '-ή', '-όν']
['ἀγα-κλυτός', '-όν']
['ἀγα-κτῐμένη', 'κτίζω']
['ἀ-γάλακτος[γᾰ]', '-ον']
['ἀγαλλίᾱσις', '-εως', 'ἡ']
['ἀγαλλιάω']
['ἀγαλλίς', '-ίδος', 'ἡ']
['ἀγάλλω[ᾰ]']
['ἄγαλμα', '-ατος', 'τό', 'ἀγάλλω']
['ἀγαλματο-ποιός', 'ὁ', 'ποιέω']
['ἄγαμαι[ᾰ]', 'ἀγαίομαι']
['Ἀγα-μέμνων', '-ονος', 'ὁ', 'ἄγαν', 'μέμνων', 'μένω', 'Ἀγαμεμνόνεος', '-όνειος', '-όνιος', '-ονίδης']
['ἀγᾰμένως']
['ἀγαμία', 'ἡ', 'ἄγαμος']
['ἄ-γᾰμος', '-ον']
['ἄγαν']
['ἀγᾰνακτέω']
['ἀγανάκτησις', '-εως', 'ἡ', 'ἀγανακτέω']
['ἀγανακτητικός', '-ή', '-όν', 'ἀγανακτέω']
['ἀγανακτητός', '-ή', '-όν']
['ἀγανακτικός', '-ή', '-όν']
['ἀγάν-νῐφος', '-ον', 'νίφω']
['ἀγᾰνο-βλέφᾰρος', '-ον']
['ἀγᾱνόρειος', 'ἀγᾱνορία']
['ἀγᾰνός', '-ή', '-όν']
['ἀγανοφροσύνη', 'ἡ']
['ἀγανό-φρων', '-ον']
['ἀγάνωρ[ᾱ]']
['ἀγάομαι']
['ἀγαπάζω']
['ἀγαπᾱτός', '-όν']
['ἀγᾰπάω', 'ἀγάπη']
['ἀγάπη', 'ἡ']
['ἀγάπημα', '-ατος', 'τό', 'ἀγαπάω']
['ἀγαπ-ήνωρ', '-ορος', 'ὁ']
['ἀγαπητέος', '-α', '-ον']
['ἀγαπητικός', '-ή', '-όν', 'ἀγαπάω']
['ἀγᾰπητός', '-ή', '-όν']
['ἀγάρ-ροος', '-ον', 'ἀγάρρους']
['ἀγάσσατο']
['ἀγά-στονος', '-ον', 'στένω']
['ἀγαστός', '-ή', '-όν']
['ἀγᾰτός', '-ή', '-όν']
['ἀ-γαυός', '-ή', '-όν']
['ἀγ-αυρός', '-ά', '-όν']
['ἀγγᾰρεύω']
['ἀγγᾰρήιος', 'ὁ']
['ἄγγᾰρος', 'ὁ', 'ἀγγαρήιος']
['ἀγγεῖον', '-ήιον']
['ἀγγελία', '-ίη']
['ἀγγελί-αρχος', 'ὁ']
